name,currency,capital,languages,latitude,longitude,area,subregion,borders,GDP,GDP Growth,Interest Rate,Inflation Rate,Jobless Rate,Gov. Budget,Debt/GDP,Current Account,Population,region_Americas,region_Asia,region_Europe,region_Oceania
Portugal,Euro,Lisbon,Portuguese,0.7594339622641508,0.33563637012836306,0.005385816324236666,Southern Europe,['ESP'],0.010519823184730838,0.574468085106383,0.036299172716528785,0.06460519050248481,0.1782477341389728,0.46683673469387754,0.34334445680385617,0.5357710651828298,0.007606750191766811,False,False,True,False
China,Chinese yuan,Beijing,Chinese,0.7169811320754716,0.7391141342188421,0.5677168522230555,Eastern Asia,"['AFG', 'BTN', 'MMR', 'HKG', 'IND', 'KAZ', 'NPL', 'PRK', 'KGZ', 'LAO', 'MAC', 'MNG', 'PAK', 'RUS', 'TJK', 'VNM']",0.6422232121440565,0.5862884160756502,0.050650008441668073,0.05024848150193263,0.1540785498489426,0.28316326530612246,0.3188728216536893,0.5357710651828298,1.0,False,True,False,False
Singapore,Singapore dollar,Singapore,English,0.39968553452830186,0.7348294146001821,4.140660096174413e-05,South-Eastern Asia,"['CHN', 'IND']",0.018675256142274613,0.5933806146572105,0.025493837582306264,0.054665930425179456,0.060422960725075525,0.40816326530612246,0.6332962550982573,0.779014308426073,0.004261484701269923,False,True,False,False
Denmark,Danish krone,Copenhagen,Danish,0.9150943396226414,0.3999071644082624,0.0025202582283559687,Northern Europe,['DEU'],0.014631806188534421,0.591016548463357,0.027013337835556307,0.06294864715626725,0.07250755287009063,0.5637755102040816,0.1067853170189099,0.6931637519872813,0.00420466490525299,False,False,True,False
Ghana,Ghanaian cedi,Accra,English,0.4622641509433962,0.35705996822166286,0.013950615986149002,Western Africa,"['BFA', 'CIV', 'TGO']",0.0027755885275674197,0.5933806146572105,0.4220834036805673,0.11706239646604086,0.08761329305135951,0.326530612244898,0.25287356321839083,0.5707472178060413,0.024425409812778773,False,False,False,False
Liberia,Liberian dollar,Monrovia,English,0.44811320754716977,0.3302804706050381,0.0065133592773447555,Western Africa,"['GIN', 'CIV', 'SLE']",0.00010279957509508961,0.5768321513002365,0.29123754853959144,0.1049144119271121,0.08459214501510573,0.38010204081632654,0.1950315164998146,0.7265500794912558,0.003956078297678912,False,False,False,False
Hong Kong,Hong Kong dollar,City of Victoria,English,0.5968584905660377,0.7719208040990485,6.444990837004267e-05,Eastern Asia,['CHN'],0.013877942637837098,0.5697399527186762,0.08019584669930778,0.05577029265599116,0.10876132930513595,0.32142857142857145,0.025954764553207273,0.68362480127186,0.005319753402085287,False,True,False,False
Guatemala,Guatemalan quetzal,Guatemala City,Spanish,0.5330188679245282,0.04195454626604539,0.00636831510888643,Central America,"['BLZ', 'SLV', 'HND', 'MEX']",0.0038035842785183157,0.5768321513002365,0.07597501266250212,0.056709000552181116,0.048338368580060416,0.4232142857142857,0.09492028179458657,0.546899841017488,0.012642404613767437,True,False,False,False
Sierra Leone,Leone,Freetown,English,0.46698113207547165,0.3231392712406049,0.004195635345153227,Western Africa,"['GIN', 'LBR']",0.00020559915019017924,0.5768321513002365,0.36721256120209356,0.0894533406957482,0.09063444108761329,0.3673469387755102,0.15090841675936226,0.4403815580286168,0.0061081280718202225,False,False,False,False
Monaco,Euro,Monaco,French,0.7993710691509434,0.3906236052344992,0.0,Western Europe,['FRA'],0.0002741322002535723,0.5768321513002365,0.08863751477291913,0.06874654886802871,0.1540785498489426,0.36798469387755106,0.1950315164998146,0.48489666136724957,0.0,False,False,True,False
Lebanon,Lebanese pound,Beirut,Arabic,0.705974842735849,0.49214765618695666,0.0006111728465750544,Western Asia,"['ISR', 'SYR']",0.0006167974505705377,0.5768321513002365,0.3376667229444538,0.12921038100496962,0.34441087613293053,0.4387755102040816,0.599925843529848,0.0,0.004091025313219126,False,True,False,False
Seychelles,Seychellois rupee,Victoria,Seychellois Creole,0.3435534591509434,0.5629645498723511,2.6317328597934438e-05,Eastern Africa,"['CHN', 'IND']",0.0,0.5768321513002365,0.02954583825763971,0.053782440640530095,0.09365558912386707,0.45153061224489793,0.21764923989618096,0.3815580286168521,4.261484701269923e-05,False,False,False,False
Zambia,Zambian kwacha,Lusaka,English,0.2452830188679245,0.47131915805259494,0.04401680996876498,Eastern Africa,"['AGO', 'BWA', 'COD', 'MWI', 'MOZ', 'NAM', 'TZA', 'ZWE']",0.000822396600760717,0.5768321513002365,0.24480837413472903,0.12203202650469354,0.3595166163141994,0.35969387755102045,0.24953652206154986,0.48489666136724957,0.013963464871161112,False,False,False,False
Venezuela,Venezuelan bolívar soberano,Caracas,Spanish,0.4622641509433962,0.12854158855979864,0.05359867337643953,South America,"['BRA', 'COL', 'GUY']",0.0037693177534866193,0.0,1.0,1.0,0.16314199395770393,0.3647959183673469,0.6006674082313682,0.5659777424483307,0.024183925679706814,True,False,False,False
Suriname,Surinamese dollar,Paramaribo,Dutch,0.4245283018867924,0.1642475853819649,0.009580984954686548,South America,"['BRA', 'GUF', 'GUY']",0.00010279957509508961,0.5768321513002365,0.1688333614722269,0.09442297073440088,0.2175226586102719,0.4362244897959184,0.3147942157953282,0.5039745627980922,0.0004190459956248757,True,False,False,False
Ukraine,Ukrainian hryvnia,Kyiv,Ukrainian,0.8490566037735849,0.4784603574170282,0.03529591236910456,Eastern Europe,"['BLR', 'HUN', 'MDA', 'POL', 'ROU', 'RUS', 'SVK']",0.0064763732309906456,0.5650118203309693,0.2616917102819517,0.12810601877415792,0.31419939577039274,0.0,0.3244345569150908,0.3720190779014308,0.029240887525213786,False,False,True,False
Latvia,Euro,Riga,Latvian,0.9245283018867925,0.4534661596415118,0.003775650597693857,Northern Europe,"['BLR', 'EST', 'LTU', 'RUS']",0.0014391940513312545,0.557919621749409,0.036299172716528785,0.07123136388735504,0.19939577039274922,0.4030612244897959,0.1649981460882462,0.4674085850556438,0.0012997528338873265,False,False,True,False
Germany,Euro,Berlin,German,0.8679245283018868,0.3963365647260458,0.020885891203873488,Western Europe,"['AUT', 'BEL', 'CZE', 'DNK', 'FRA', 'LUX', 'NLD', 'POL', 'CHE']",0.1596134735976425,0.5531914893617021,0.036299172716528785,0.061292103810049695,0.18731117824773413,0.3775510204081633,0.2232109751575825,0.5914149443561207,0.059348276939685786,False,False,True,False
Eritrea,Eritrean nakfa,Asmara,Arabic,0.5283018867924528,0.5034545551925447,0.0068777827505962985,Eastern Africa,"['DJI', 'ETH', 'SDN']",0.0,0.5768321513002365,0.08863751477291913,0.09994478188845941,0.16616314199395768,0.3622448979591837,0.5995550611790879,0.697933227344992,0.002251484417170942,False,False,False,False
Croatia,Euro,Zagreb,Croatian,0.8128930816981131,0.41954546266045384,0.003309813177625081,Southeast Europe,"['BIH', 'HUN', 'MNE', 'SRB', 'SVN']",0.003118253777884385,0.5673758865248227,0.036299172716528785,0.07288790723357261,0.11782477341389727,0.3877551020408163,0.20541342232109752,0.4817170111287758,0.0027131452598085173,False,False,True,False
Papua New Guinea,Papua New Guinean kina,Port Moresby,English,0.330188679245283,0.8890793208719405,0.027069334653238387,Melanesia,['IDN'],0.0010622622759825927,0.5768321513002365,0.06753334458889076,0.07940364439536168,0.07854984894259819,0.336734693877551,0.18094178717093068,0.7774244833068362,0.007486008125230831,False,False,False,True
Bosnia and Herzegovina,Bosnia and Herzegovina convertible mark,Sarajevo,Bosnian,0.8018867924528301,0.42847196186599545,0.0029948684811944015,Southeast Europe,"['HRV', 'MNE', 'SRB']",0.00089092965082411,0.5721040189125296,0.07867634644605774,0.07564881281060187,0.40181268882175225,0.41836734693877553,0.05413422321097515,0.437201907790143,0.002393533907213273,False,False,True,False
Montenegro,Euro,Podgorica,Montenegrin,0.7877358490566038,0.43311374145287707,0.0008076843006153666,Southeast Europe,"['ALB', 'BIH', 'HRV', 'UNK', 'SRB']",0.00020559915019017924,0.5768321513002365,0.08863751477291913,0.07509663169519602,0.27280966767371606,0.45408163265306123,0.21505376344086022,0.22257551669316372,0.00041194352112275916,False,False,True,False
Libya,Libyan dinar,Tripoli,Arabic,0.6226415094339622,0.4249013621837788,0.10290754966933152,Northern Africa,"['DZA', 'TCD', 'EGY', 'NER', 'SDN', 'TUN']",0.0015419936264263441,0.5768321513002365,0.050650008441668073,0.05963556046383214,0.5589123867069486,0.6658163265306122,0.2992213570634038,0.7949125596184419,0.005213216284553538,False,False,False,False
Qatar,Qatari riyal,Doha,Arabic,0.6273584905660377,0.5471944012996983,0.0006774954623136598,Western Asia,['SAU'],0.007401569406846452,0.5673758865248227,0.08610501435083572,0.04980673660960795,0.0,0.46683673469387754,0.14275120504263997,0.7774244833068362,0.0021875621466518934,False,True,False,False
Pakistan,Pakistani rupee,Islamabad,English,0.6698113207547169,0.6141431453412601,0.051578991816209147,Southern Asia,"['AFG', 'CHN', 'IND', 'IRN']",0.012712880786759416,0.697163120567376,0.1857166976194496,0.07288790723357261,0.16314199395770393,0.2755102040816327,0.28809788654060065,0.49284578696343395,0.1784354669166738,False,True,False,False
